Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000072214,Sept5,Gene Expression,0.7055308752709222,0.0,0.0,76916,30.32527843349622,2292
ENSMUSG00000029151,Slc30a3,Gene Expression,0.7055085960404565,0.0,0.0,9275,3.458745232246645,1384
ENSMUSG00000032890,Rims3,Gene Expression,0.7046696778434941,0.0,0.0,10692,4.269040111361962,1649
ENSMUSG00000032503,Arpp21,Gene Expression,0.7044657350042217,0.0,0.0,38306,15.262577551781146,2168
ENSMUSG00000056486,Chn1,Gene Expression,0.7040276780294822,0.0,0.0,75174,27.149030437448772,2267
ENSMUSG00000052889,Prkcb,Gene Expression,0.703197457776702,0.0,0.0,34772,13.741231583943236,2168
ENSMUSG00000026051,Ecrg4,Gene Expression,0.7022874623288088,0.0,0.0,9798,2.1546896937516755,359
ENSMUSG00000061859,Patj,Gene Expression,0.7010182185057007,0.0,0.0,3880,1.6097239700762802,1029
ENSMUSG00000039943,Plcb4,Gene Expression,0.7008515974404715,0.0,0.0,8500,3.4834685099022775,1564
ENSMUSG00000022425,Enpp2,Gene Expression,0.7003404724397059,0.0,0.0,98289,23.700133228345,2101
ENSMUSG00000027347,Rasgrp1,Gene Expression,0.6997750103316754,0.0,0.0,18994,7.215357071460363,1872
ENSMUSG00000045871,Slitrk6,Gene Expression,0.698809989613094,0.0,0.0,1092,0.4647203253459374,390
ENSMUSG00000032554,Trf,Gene Expression,0.698341081356083,0.0,0.0,15166,7.995249183875437,1817
ENSMUSG00000025658,Cnksr2,Gene Expression,0.6975278324937764,0.0,0.0,21305,8.152428667973167,2060
ENSMUSG00000032589,Bsn,Gene Expression,0.6972570055427852,0.0,0.0,33232,13.031262721568067,2167
ENSMUSG00000067889,Sptbn2,Gene Expression,0.6972157743805603,0.0,0.0,35196,14.654804873354372,2215
ENSMUSG00000026090,2010300C02Rik,Gene Expression,0.6912889240805863,0.0,0.0,14761,5.581036369458889,1811
ENSMUSG00000110195,Pde2a,Gene Expression,0.6902653566541882,0.0,0.0,16073,6.368188695492201,1913
ENSMUSG00000033615,Cplx1,Gene Expression,0.688855744642726,0.0,0.0,66754,25.83828515480463,2224
ENSMUSG00000037362,Ccn3,Gene Expression,0.6886649289194576,0.0,0.0,6109,2.541002741213469,1154
ENSMUSG00000013076,Amotl1,Gene Expression,0.6852207544564264,0.0,0.0,5620,2.4405941314746915,1227
ENSMUSG00000025889,Snca,Gene Expression,0.6847627204008714,0.0,0.0,22943,8.349500181501238,1954
ENSMUSG00000031980,Agt,Gene Expression,0.6811176265371696,0.0,0.0,7065,3.569701328987846,1393
ENSMUSG00000037984,Neurod6,Gene Expression,0.6788287006022945,0.0,0.0,5342,1.7055026956029367,1000
ENSMUSG00000041708,Mpped1,Gene Expression,0.6771467882091414,0.0,0.0,7486,3.013626318818931,1459
ENSMUSG00000038872,Zfhx3,Gene Expression,0.6758615039564885,0.0,0.0,3981,1.7698385117152682,1072
ENSMUSG00000032224,Fam81a,Gene Expression,0.6753119792183336,0.0,0.0,15991,5.913432697293586,1914
ENSMUSG00000038764,Ptpn3,Gene Expression,0.6752001258002126,0.0,0.0,12342,4.931707489667175,1776
ENSMUSG00000019194,Scn1b,Gene Expression,0.6751106914496486,0.0,0.0,44409,16.846665577526284,2220
ENSMUSG00000049892,Rasd1,Gene Expression,0.6737830406388158,0.0,0.0,5255,2.089215157481988,1105
ENSMUSG00000020262,Adarb1,Gene Expression,0.6728268353087421,0.0,0.0,20385,8.572206484289485,2094
ENSMUSG00000034739,Mfrp,Gene Expression,0.6720189760937454,0.0,0.0,3198,0.7344896713985405,195
ENSMUSG00000038530,Rgs4,Gene Expression,0.6698601624144971,0.0,0.0,33966,12.839790524973159,2110
ENSMUSG00000001827,Folr1,Gene Expression,0.6691616994888893,0.0,0.0,6003,1.3058187198654627,265
ENSMUSG00000049556,Lingo1,Gene Expression,0.6682515462764431,0.0,0.0,23997,8.90274726031957,2057
ENSMUSG00000032936,Camkv,Gene Expression,0.6673497051499274,0.0,0.0,29088,11.577855782176094,2133
ENSMUSG00000050896,Rtn4rl2,Gene Expression,0.6667625040279316,0.0,0.0,8997,3.2055669565559706,1376
ENSMUSG00000018593,Sparc,Gene Expression,0.665343268538337,0.0,0.0,20829,9.489849423877532,2167
ENSMUSG00000036634,Mag,Gene Expression,0.6644573986532938,0.0,0.0,9463,5.93009034028646,1605
ENSMUSG00000024661,Fth1,Gene Expression,0.66441224393149,0.0,0.0,190010,100.66943720716917,2310
ENSMUSG00000048108,Tmem72,Gene Expression,0.6635830830627816,0.0,0.0,2955,0.6411194498709486,185
ENSMUSG00000085007,Gm11549,Gene Expression,0.6629786854028398,0.0,0.0,2483,0.8757035027643598,803
ENSMUSG00000028931,Kcnab2,Gene Expression,0.662726446821072,0.0,0.0,36145,15.110243956786663,2222
ENSMUSG00000036564,Ndrg4,Gene Expression,0.6623754837844377,0.0,0.0,102456,39.688075593566744,2262
ENSMUSG00000047507,Baiap3,Gene Expression,0.6613988603792075,0.0,0.0,2883,1.164389258080317,653
ENSMUSG00000027375,Mal,Gene Expression,0.6613354952106756,0.0,0.0,16632,10.958958708031009,1876
ENSMUSG00000033161,Atp1a1,Gene Expression,0.659477600865481,0.0,0.0,44693,15.878667846425206,2257
ENSMUSG00000001175,Calm1,Gene Expression,0.6590246558223538,0.0,0.0,144047,57.87424577225932,2310
ENSMUSG00000003657,Calb2,Gene Expression,0.6585176636943956,0.0,0.0,6410,2.440065745381397,949
ENSMUSG00000033721,Vav3,Gene Expression,0.655836370534036,0.0,0.0,2199,0.8800414839851622,737
ENSMUSG00000025582,Nptx1,Gene Expression,0.6551135160724155,0.0,0.0,13747,4.883574364681663,1656
ENSMUSG00000030701,Plekhb1,Gene Expression,0.6550123345121371,0.0,0.0,26796,15.744750656680237,2273
ENSMUSG00000021087,Rtn1,Gene Expression,0.6546545065438162,0.0,0.0,93269,34.73022414825753,2293
ENSMUSG00000040479,Dgkz,Gene Expression,0.653738520296069,0.0,0.0,23942,9.632663871548198,2192
ENSMUSG00000043079,Synpo,Gene Expression,0.6532113653859677,0.0,0.0,13721,5.360017104048576,1838
ENSMUSG00000031786,Drc7,Gene Expression,0.6529971697696421,0.0,0.0,2895,0.708672506220859,230
ENSMUSG00000039672,Kcne2,Gene Expression,0.651055010981912,0.0,0.0,2160,0.4777780695115859,186
ENSMUSG00000030772,Dkk3,Gene Expression,0.6509760852150448,0.0,0.0,10538,3.840898250571868,1642
ENSMUSG00000006930,Hap1,Gene Expression,0.6507383856995772,0.0,0.0,14171,5.717271569203352,1880
ENSMUSG00000020431,Adcy1,Gene Expression,0.6500325584841202,0.0,0.0,19717,8.355605501256457,2043
ENSMUSG00000031517,Gpm6a,Gene Expression,0.6495611254266038,0.0,0.0,102280,39.785349911317404,2309
ENSMUSG00000030307,Slc6a11,Gene Expression,0.6490448683784372,0.0,0.0,17149,7.664637604950313,2097
ENSMUSG00000059456,Ptk2b,Gene Expression,0.6489910245149183,0.0,0.0,21119,7.591345383145737,1966
ENSMUSG00000030270,Cpne9,Gene Expression,0.6486794441875924,0.0,0.0,4956,1.8380800217515343,1171
ENSMUSG00000029544,Cabp1,Gene Expression,0.6486346305839679,0.0,0.0,17572,6.257866955963839,1889
ENSMUSG00000057897,Camk2b,Gene Expression,0.6453724376622322,0.0,0.0,59609,22.153828909215854,2211
ENSMUSG00000032246,Calml4,Gene Expression,0.6452641230971365,0.0,0.0,2614,0.6038434192623626,190
ENSMUSG00000058488,Kl,Gene Expression,0.6450775773563289,0.0,0.0,3912,0.8934768125693384,338
ENSMUSG00000027985,Lef1,Gene Expression,0.6450529915002834,0.0,0.0,2163,0.939665687737343,732
ENSMUSG00000047230,Cldn2,Gene Expression,0.6434672464814515,0.0,0.0,2094,0.45085517054872065,168
ENSMUSG00000005892,Trh,Gene Expression,0.6432789186132979,0.0,0.0,1205,0.570078716588781,286
ENSMUSG00000046500,Tafa4,Gene Expression,0.642896492943958,0.0,0.0,834,0.3558378188787051,349
ENSMUSG00000026344,Lypd1,Gene Expression,0.6418784676964038,0.0,0.0,10597,4.47003992187257,1446
ENSMUSG00000029608,Rph3a,Gene Expression,0.6414011331907448,0.0,0.0,35635,14.149654427406379,2178
ENSMUSG00000026579,F5,Gene Expression,0.6393690967981212,0.0,0.0,2489,0.5443264620908953,198
ENSMUSG00000044349,Snhg11,Gene Expression,0.638350702308665,0.0,0.0,76381,29.760062175752864,2271
ENSMUSG00000004655,Aqp1,Gene Expression,0.636213253893301,0.0,0.0,2634,0.5797986590556151,206
ENSMUSG00000029054,Gabrd,Gene Expression,0.6360706348059805,0.0,0.0,5532,2.197978888135985,1342
ENSMUSG00000050821,Fam131a,Gene Expression,0.6359199320613318,0.0,0.0,21711,7.956953185036853,2044
ENSMUSG00000034796,Cpne7,Gene Expression,0.6355286357621996,0.0,0.0,10887,4.369076729438259,1692
ENSMUSG00000027833,Shox2,Gene Expression,0.6349688256316134,0.0,0.0,776,0.3401330703121339,336
ENSMUSG00000071379,Hpcal1,Gene Expression,0.6339887091401514,0.0,0.0,7697,3.16793743221541,1534
ENSMUSG00000006782,Cnp,Gene Expression,0.6332935747864228,0.0,0.0,23891,14.869558496103899,2163
ENSMUSG00000079436,Kcnj13,Gene Expression,0.6323681566555835,0.0,0.0,2857,0.6224842283448319,183
ENSMUSG00000045763,Basp1,Gene Expression,0.6322072061287147,0.0,0.0,64528,25.131326303343794,2273
ENSMUSG00000048458,Inka2,Gene Expression,0.6314702739722156,0.0,0.0,9299,3.3650299494797817,1570
ENSMUSG00000020178,Adora2a,Gene Expression,0.6312099078627854,0.0,0.0,446,0.26823850013821987,161
ENSMUSG00000038255,Neurod2,Gene Expression,0.6306432823829619,0.0,0.0,7758,2.75866530329267,1404
ENSMUSG00000026247,Ecel1,Gene Expression,0.629364924406263,0.0,0.0,2783,1.0882457192457653,527
ENSMUSG00000029223,Uchl1,Gene Expression,0.6288049794608305,0.0,0.0,77487,29.96326043261041,2258
ENSMUSG00000031144,Syp,Gene Expression,0.6286958475966411,0.0,0.0,86031,32.86313733548581,2267
ENSMUSG00000020486,Sept4,Gene Expression,0.6266488982013698,0.0,0.0,13475,7.198495736502291,2019
ENSMUSG00000030302,Atp2b2,Gene Expression,0.625505537408372,0.0,0.0,54647,20.478555642358472,2256
ENSMUSG00000028833,Ncdn,Gene Expression,0.6251945027104846,0.0,0.0,74921,28.699207828702654,2272
ENSMUSG00000064201,Krt2,Gene Expression,0.6248858846144691,0.0,0.0,376,0.13287483050975193,146
ENSMUSG00000027624,Epb41l1,Gene Expression,0.6246684405238155,0.0,0.0,24899,10.591654583187259,2217
ENSMUSG00000016349,Eef1a2,Gene Expression,0.6229268961302256,0.0,0.0,54799,21.145116639415164,2227
ENSMUSG00000038418,Egr1,Gene Expression,0.6228957212191369,0.0,0.0,7151,2.5823606761186504,1421
ENSMUSG00000025422,Agap2,Gene Expression,0.6227309619397924,0.0,0.0,16050,7.273750172563,2054
ENSMUSG00000042700,Sipa1l1,Gene Expression,0.621283283123187,0.0,0.0,12606,5.234769352119542,1974
ENSMUSG00000041571,Selenow,Gene Expression,0.6210690662530947,0.0,0.0,86466,37.800154636242624,2310
ENSMUSG00000034486,Gbx2,Gene Expression,0.6194013721884054,0.0,0.0,532,0.21911543899803304,226
ENSMUSG00000035681,Kcnc2,Gene Expression,0.619387049867363,0.0,0.0,15094,6.169486332624823,1932
ENSMUSG00000044216,Kcnj4,Gene Expression,0.618822771698577,0.0,0.0,5819,2.2543152689885906,1356
ENSMUSG00000053963,Stum,Gene Expression,0.6184605407129448,0.0,0.0,14069,5.716675217257789,1916
ENSMUSG00000026825,Dnm1,Gene Expression,0.6183093629371389,0.0,0.0,91243,33.794353593657476,2253
ENSMUSG00000040856,Dlk1,Gene Expression,0.6182686487057429,0.0,0.0,1225,0.5140798732571163,346
ENSMUSG00000027581,Stmn3,Gene Expression,0.6178063428506815,0.0,0.0,69998,26.609470206228213,2254
ENSMUSG00000028161,Ppp3ca,Gene Expression,0.6170837900260256,0.0,0.0,60345,21.954912050331956,2258
ENSMUSG00000029436,Mmp17,Gene Expression,0.6163266391748181,0.0,0.0,13065,4.86828130170553,1817
ENSMUSG00000005268,Prlr,Gene Expression,0.6159179916453008,0.0,0.0,3989,0.9077651346341394,406
ENSMUSG00000056708,Ier5,Gene Expression,0.6151760646156855,0.0,0.0,8739,3.138585048545332,1623
ENSMUSG00000039114,Nrn1,Gene Expression,0.6149041459031114,0.0,0.0,32360,11.415652382317534,2077
ENSMUSG00000033730,Egr3,Gene Expression,0.6148766252942894,0.0,0.0,6119,2.2461341224867954,1316
ENSMUSG00000006476,Nsmf,Gene Expression,0.6145523312723526,0.0,0.0,25903,12.157030314130369,2250
ENSMUSG00000047261,Gap43,Gene Expression,0.6144850848568504,0.0,0.0,35388,14.702977643403079,2209
ENSMUSG00000026797,Stxbp1,Gene Expression,0.614075239368851,0.0,0.0,59783,22.485492089495477,2265
ENSMUSG00000045573,Penk,Gene Expression,0.6137949904386414,0.0,0.0,6432,3.2778516955848103,1046
ENSMUSG00000048483,Zdhhc22,Gene Expression,0.6134978283321775,0.0,0.0,6537,2.680926236358563,1532
ENSMUSG00000032011,Thy1,Gene Expression,0.6134696267587599,0.0,0.0,49655,19.20190366477189,2241
ENSMUSG00000025855,Prkar1b,Gene Expression,0.6123193430951699,0.0,0.0,37314,13.935851629017863,2183
ENSMUSG00000038976,Ppp1r9b,Gene Expression,0.6122437218225389,0.0,0.0,64507,30.285712135984546,2298
ENSMUSG00000028222,Calb1,Gene Expression,0.6121508949419938,0.0,0.0,15987,6.053200308287904,1774
ENSMUSG00000020396,Nefh,Gene Expression,0.6116788177277095,0.0,0.0,7494,2.88648518280362,1541
ENSMUSG00000038244,Mical2,Gene Expression,0.6115804321597409,0.0,0.0,15928,5.911140921609873,1965
ENSMUSG00000043439,Epop,Gene Expression,0.6110236521315716,0.0,0.0,5074,2.0824732017151795,1324
ENSMUSG00000034891,Sncb,Gene Expression,0.6106783976058331,0.0,0.0,45509,17.345239590848152,2174
ENSMUSG00000022577,Ly6h,Gene Expression,0.6099283598973367,0.0,0.0,29721,11.716334011788332,2146
ENSMUSG00000032373,Car12,Gene Expression,0.6088827202506448,0.0,0.0,5124,1.2550185622507195,653
ENSMUSG00000037086,Prr32,Gene Expression,0.6083438866711272,0.0,0.0,1205,0.27032940506193903,134
ENSMUSG00000018451,6330403K07Rik,Gene Expression,0.6081290624986695,0.0,0.0,22645,8.843230209481296,2026
ENSMUSG00000039278,Pcsk1n,Gene Expression,0.6080479784102427,0.0,0.0,85766,36.93421245083357,2294
ENSMUSG00000066189,Cacng3,Gene Expression,0.6078751612352741,0.0,0.0,9842,3.6928036355385414,1633
ENSMUSG00000034825,Nrip3,Gene Expression,0.6076196057862782,0.0,0.0,12975,5.1721529138860864,1832
ENSMUSG00000049775,Tmsb4x,Gene Expression,0.6072281042666644,0.0,0.0,119896,49.85090601358063,2310
ENSMUSG00000022212,Cpne6,Gene Expression,0.6070340715356018,0.0,0.0,13707,4.969325107302123,1774
ENSMUSG00000061751,Kalrn,Gene Expression,0.606982691121268,0.0,0.0,30003,11.289197974375462,2212
ENSMUSG00000021062,Rab15,Gene Expression,0.6069754707104279,0.0,0.0,22180,8.7594073510809,2113
ENSMUSG00000016024,Lbp,Gene Expression,0.60635356420081,0.0,0.0,2752,0.7010290237723157,260
ENSMUSG00000058297,Spock2,Gene Expression,0.6050548273944079,0.0,0.0,55988,22.57176210216051,2284
ENSMUSG00000022623,Shank3,Gene Expression,0.6048941373058697,0.0,0.0,22195,10.277305081009446,2197
ENSMUSG00000029516,Cit,Gene Expression,0.6044182782084673,0.0,0.0,7660,3.1881029861805685,1695
ENSMUSG00000034730,Adgrb1,Gene Expression,0.6041733218053327,0.0,0.0,53709,20.911993328065286,2259
ENSMUSG00000067629,Syngap1,Gene Expression,0.6039234974609095,0.0,0.0,34469,13.61072323360039,2258
ENSMUSG00000020524,Gria1,Gene Expression,0.603189298455215,0.0,0.0,29668,11.413064896497799,2157
ENSMUSG00000026384,Ptpn4,Gene Expression,0.6031743353114355,0.0,0.0,11326,4.78171230958877,1923
ENSMUSG00000059173,Pde1a,Gene Expression,0.603128759140288,0.0,0.0,7437,2.76980049296845,1469
ENSMUSG00000019828,Grm1,Gene Expression,0.6021551336036304,0.0,0.0,5065,2.060994914588317,1361
ENSMUSG00000025738,Fbxl16,Gene Expression,0.6019155933280492,0.0,0.0,19376,8.47539979770186,2140
ENSMUSG00000020886,Dlg4,Gene Expression,0.6019123131096699,0.0,0.0,45462,19.311037268527706,2274
ENSMUSG00000028266,Lmo4,Gene Expression,0.6015709641097415,0.0,0.0,23925,8.88498183781853,2173
ENSMUSG00000037625,Cldn11,Gene Expression,0.6012137709449814,0.0,0.0,7999,5.29343863849925,1581
ENSMUSG00000020848,Doc2b,Gene Expression,0.6011150216059651,0.0,0.0,5198,2.1406681388074507,1255
ENSMUSG00000027360,Hdc,Gene Expression,0.5996905926575002,0.0,0.0,583,0.252540293249612,118
ENSMUSG00000030806,Stx1b,Gene Expression,0.5994810978329411,0.0,0.0,37774,14.885328708387505,2216
ENSMUSG00000015222,Map2,Gene Expression,0.5982638246139663,0.0,0.0,53272,22.810657773136484,2288
ENSMUSG00000024268,Celf4,Gene Expression,0.5982471271156206,0.0,0.0,21076,8.966388706622508,2161
ENSMUSG00000042816,Gpr151,Gene Expression,0.5975713416448367,0.0,0.0,873,0.22726719460776074,123
ENSMUSG00000022594,Lynx1,Gene Expression,0.5972235685596965,0.0,0.0,20983,8.082722407838801,2097
ENSMUSG00000007207,Stx1a,Gene Expression,0.5971527420667283,0.0,0.0,6846,2.543312116327445,1507
ENSMUSG00000003363,Pld3,Gene Expression,0.596799278314506,0.0,0.0,26664,10.426243708536164,2221
ENSMUSG00000004961,Syt5,Gene Expression,0.5966953303957334,0.0,0.0,10939,4.20028797152118,1781
ENSMUSG00000030134,Rasgef1a,Gene Expression,0.5965758011304556,0.0,0.0,12234,5.050836450889214,1940
ENSMUSG00000036169,Sostdc1,Gene Expression,0.5964532089497551,0.0,0.0,2399,0.5305135215410034,253
ENSMUSG00000027500,Stmn2,Gene Expression,0.5955986362029192,0.0,0.0,43273,16.435167625833696,2202
ENSMUSG00000049225,Pdp1,Gene Expression,0.5954539792861495,0.0,0.0,8690,3.467411175578187,1686
ENSMUSG00000076439,Mog,Gene Expression,0.5942949565363114,0.0,0.0,4710,3.0489470528727245,1299
ENSMUSG00000020932,Gfap,Gene Expression,0.5937981151083832,0.0,0.0,12112,9.167248315264354,1809
ENSMUSG00000027562,Car2,Gene Expression,0.5937932727327425,0.0,0.0,26385,13.696571312665831,2284
ENSMUSG00000032549,Rab6b,Gene Expression,0.5937609392371032,0.0,0.0,54421,21.405996073556427,2271
ENSMUSG00000060371,Caln1,Gene Expression,0.5935721882003495,0.0,0.0,11372,4.694439085381603,1765
ENSMUSG00000032060,Cryab,Gene Expression,0.5935656312352543,0.0,0.0,14452,7.852292475061904,2074
ENSMUSG00000097929,Tunar,Gene Expression,0.5934330933450377,0.0,0.0,3300,1.3869568752717834,1096
ENSMUSG00000068323,Slc4a5,Gene Expression,0.5931176228176371,0.0,0.0,1282,0.2842634429204946,146
ENSMUSG00000010803,Gabra1,Gene Expression,0.5926683080754002,0.0,0.0,28018,10.370851545245475,2086
ENSMUSG00000036699,Zcchc12,Gene Expression,0.5924971977642534,0.0,0.0,7397,3.0652445495110205,1551
ENSMUSG00000010080,Epn3,Gene Expression,0.5923937108333447,0.0,0.0,1856,0.5670504109801562,499
ENSMUSG00000003352,Cacnb3,Gene Expression,0.5922582647079232,0.0,0.0,13161,5.3652253976704944,1987
ENSMUSG00000029769,Ccdc136,Gene Expression,0.5905959787731221,0.0,0.0,7858,3.220343284568033,1740
ENSMUSG00000054728,Phactr1,Gene Expression,0.5903748740387463,0.0,0.0,10950,4.581159446162206,1881
ENSMUSG00000017723,Wfdc2,Gene Expression,0.5899408290811264,0.0,0.0,878,0.19182380696283216,136
ENSMUSG00000027858,Tspan2,Gene Expression,0.5891746317089401,0.0,0.0,8138,4.941002961746828,1734
ENSMUSG00000026463,Atp2b4,Gene Expression,0.5887630549412014,0.0,0.0,5967,2.401157246200622,1397
ENSMUSG00000028782,Adgrb2,Gene Expression,0.5884356553136116,0.0,0.0,21538,8.633205210577648,2159
ENSMUSG00000042388,Dlgap3,Gene Expression,0.5881798436807668,0.0,0.0,17571,8.097659308025335,2111
ENSMUSG00000046480,Scn4b,Gene Expression,0.5872424459298212,0.0,0.0,3801,1.5019593176982968,1075
ENSMUSG00000040794,C1qtnf4,Gene Expression,0.5871736624954398,0.0,0.0,33624,13.657120992718674,2229
ENSMUSG00000090071,Cdk5r2,Gene Expression,0.5871533500281167,0.0,0.0,16934,6.925787923125757,2093
ENSMUSG00000005716,Pvalb,Gene Expression,0.5866380133531749,0.0,0.0,10011,3.895259833895114,1447
ENSMUSG00000030209,Grin2b,Gene Expression,0.5849309114769903,0.0,0.0,32614,12.659603516461031,2184
ENSMUSG00000062542,Syt9,Gene Expression,0.5843740026902368,0.0,0.0,3381,1.2214123763676954,937
ENSMUSG00000070780,Rbm47,Gene Expression,0.5841665934548214,0.0,0.0,1587,0.3828798237597261,193
ENSMUSG00000024245,Tmem178,Gene Expression,0.583781137736786,0.0,0.0,4716,1.7201600652030822,1231
ENSMUSG00000025504,Eps8l2,Gene Expression,0.5833347179415844,0.0,0.0,2008,0.7356714401546556,595
ENSMUSG00000039059,Hrh3,Gene Expression,0.5832752486502518,0.0,0.0,10756,4.5286828109962896,1843
ENSMUSG00000036198,Arhgap36,Gene Expression,0.5831846111113006,0.0,0.0,820,0.31155437413487924,233
ENSMUSG00000051853,Arf3,Gene Expression,0.5824385896626317,0.0,0.0,51453,20.760380247404402,2278
ENSMUSG00000038112,AW551984,Gene Expression,0.5822201878331343,0.0,0.0,1237,0.49140917679466267,426
ENSMUSG00000058254,Tspan7,Gene Expression,0.5813178075881482,0.0,0.0,74608,31.886840503854028,2308
ENSMUSG00000039058,Ak5,Gene Expression,0.580887368862767,0.0,0.0,14181,5.215339167558232,1853
